Funds,Minimum Investment,Expense Ratio (%),Exit Load (Period),Fund Manager (Tenure)
Axis US Specific Treasury Dynamic Debt Passive ETF FoF - Direct Plan,500.00,0.09,0.25 (30),Krishnaa Narayan (1.4)
Bajaj Finserv Banking and PSU Fund - Direct Plan,"1,000",0.34,--,"Siddharth Chaudhary (1.8), Nimesh Chandan (1.8)"
Bajaj Finserv Gilt Fund - Direct Plan,"5,000",0.39,--,"Nimesh Chandan (0.6), Siddharth Chaudhary (0.6)"
Bajaj Finserv Liquid Fund - Direct Plan,100.00,0.11,0.01 (1),"Nimesh Chandan (2.1), Siddharth Chaudhary (2.1)"
Bajaj Finserv Money Market Fund - Direct Plan,"1,000",0.11,--,"Siddharth Chaudhary (2), Nimesh Chandan (2)"
Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,"5,000",0.19,--,Siddharth Chaudhary (1.2)
Bajaj Finserv Overnight Fund - Direct Plan,100.00,0.07,--,"Siddharth Chaudhary (2.1), Nimesh Chandan (2.1)"
Bandhan Banking and PSU Fund - Direct Plan,"1,000",0.33,--,"Gautam Kaul (3.6), Suyash Choudhary (4)"
Bandhan Bond Fund Income Plan - Direct Plan,"1,000",1.32,1.00 (365),Suyash Choudhary (12.6)
Bandhan Bond Fund Medium Term Plan - Direct Plan,"1,000",0.60,--,Suyash Choudhary (9.9)
Bandhan Bond Fund Short Term Plan - Direct Plan,"1,000",0.33,--,Suyash Choudhary (12.6)
Bandhan Corporate Bond Fund - Direct Plan,"1,000",0.33,--,"Suyash Choudhary (4), Gautam Kaul (3.6)"
Bandhan Credit Risk Fund - Direct Plan,"1,000",0.68,1.00 (365),"Debraj Lahiri (2.3), Gautam Kaul (3)"
Bandhan CRISIL-IBX 10:90 Gilt + SDL Index - Dec 2029 Fund - Direct Plan,"1,000",0.08,--,Brijesh Shah (0.4)
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- April 2032 Index Fund - Direct Plan,"1,000",0.08,--,"Harshal Joshi (2.7), Gautam Kaul (2.7)"
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- November 2026 Index Fund - Direct Plan,"1,000",0.08,--,"Gautam Kaul (2.7), Harshal Joshi (2.7)"
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-September 2027 Index Fund - Direct Plan,"1,000",0.08,--,"Harshal Joshi (2.7), Gautam Kaul (2.7)"
Bandhan CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,"1,000",0.10,--,"Harshal Joshi (0.4), Brijesh Shah (0.4)"
Bandhan Crisil IBX Gilt April 2026 Index Fund - Direct Plan,"1,000",0.16,--,Gautam Kaul (2.8)
Bandhan CRISIL IBX Gilt April 2028 Index Fund - Direct Plan,"1,000",0.20,--,"Gautam Kaul (3.6), Harshal Joshi (4)"
Bandhan Crisil IBX Gilt April 2032 Index Fund - Direct Plan,"1,000",0.20,--,"Gautam Kaul (2.5), Harshal Joshi (2.5)"
Bandhan CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,"1,000",0.20,--,"Gautam Kaul (3.6), Harshal Joshi (4)"
Bandhan Dynamic Bond Fund - Direct Plan,"1,000",0.71,--,Suyash Choudhary (12.6)
Bandhan Floater Fund - Direct Plan,"1,000",0.15,--,"Debraj Lahiri (1.4), Brijesh Shah (1.4)"
Bandhan Government Securities Fund - Constant Maturity Plan - Direct Plan,"1,000",0.14,--,Harshal Joshi (8.2)
Bandhan Government Securities Fund - Investment Plan - Direct Plan,"1,000",0.52,--,Suyash Choudhary (12.6)
Bandhan Income Plus Arbitrage FoF - Direct Plan,"1,000",0.04,--,Harshal Joshi (9)
Bandhan Liquid Fund - Direct Plan,100.00,0.12,0.01 (1),"Brijesh Shah (3.6), Harshal Joshi (9.9)"
Bandhan Long Duration Fund - Direct Plan,"1,000",0.25,--,Gautam Kaul (1.4)
Bandhan Low Duration Fund - Direct Plan,100.00,0.34,--,Harshal Joshi (4)
Bandhan Money Market Fund - Direct Plan,100.00,0.10,--,"Gautam Kaul (3.6), Brijesh Shah (4)"
Bandhan Overnight Fund - Direct Plan,"1,000",0.05,--,Brijesh Shah (6.5)
Bandhan Ultra Short Duration Fund - Direct Plan,100.00,0.27,--,Harshal Joshi (7.1)
Bandhan US Treasury Bond 0-1 year FoF - Direct Plan,"1,000",0.12,0.10 (7),Brijesh Shah (2.4)
Bank of India Credit Risk Fund - Direct Plan,"5,000",1.10,4.00 (365),Alok Singh (10.5)
Bank of India Liquid Fund - Direct Plan,"5,000",0.11,0.01 (1),Mithraem Bharucha (3.9)
Bank of India Money Market Fund - Direct Plan,"5,000",0.12,--,Mithraem Bharucha (0.5)
Bank of India Overnight Fund - Direct Plan,"5,000",0.08,--,Mithraem Bharucha (3.9)
Bank of India Short Term Income Fund - Direct Plan,"5,000",0.52,--,Mithraem Bharucha (3.9)
Bank of India Ultra Short Duration Fund - Direct Plan,"5,000",0.38,--,Mithraem Bharucha (3.9)
Baroda BNP Paribas Banking & PSU Bond Fund - Direct Plan,"5,000",0.39,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Corporate Bond Fund - Direct Plan,"5,000",0.20,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Credit Risk Fund - Direct Plan,"5,000",0.85,1.00 (365),"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Credit Risk Fund Plan B - Segregated Portfolio 1 - Direct Plan,"5,000",--,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan,"5,000",0.70,--,"Prashant R Pimple (1), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Gilt Fund - Direct Plan,"5,000",0.14,--,"Prashant R Pimple (1), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Income Plus Arbitrage Active FoF - Direct Plan,"1,000",0.05,--,Vikram Pamnani (0.1)
Baroda BNP Paribas Liquid Fund - Direct Plan,"5,000",0.17,0.01 (1),"Vikram Pamnani (3.4), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Low Duration Fund - Direct Plan,"5,000",0.32,--,"Vikram Pamnani (7.6), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Medium Duration Plan B - Segregated Portfolio 1 - Direct Plan,"5,000",--,--,Alok Sahoo (5.4)
Baroda BNP Paribas Money Market Fund - Direct Plan,"5,000",0.23,--,"Vikram Pamnani (3.4), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Nifty SDL December 2026 Index Fund - Direct Plan,"5,000",0.19,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Direct Plan,"5,000",0.19,--,"Vikram Pamnani (1), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Overnight Fund - Direct Plan,"5,000",0.09,--,"Vikram Pamnani (3.4), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Short Duration Fund - Direct Plan,"5,000",0.44,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Ultra Short Duration Fund - Direct Plan,"5,000",0.31,--,"Vikram Pamnani (3.4), Gurvinder Singh Wasan (0.8)"
BHARAT Bond ETF - April 2030,"1,000",0.01,--,"Dhawal Dalal (5.6), Rahul Dedhia (3.7)"
BHARAT Bond ETF - April 2031,"1,001",0.01,--,"Rahul Dedhia (3.7), Dhawal Dalal (5)"
BHARAT Bond ETF - April 2032,"1,001",0.01,--,"Dhawal Dalal (3.6), Rahul Dedhia (3.6)"
BHARAT Bond ETF - April 2033,"1,001",0.01,--,"Dhawal Dalal (2.6), Rahul Dedhia (2.6)"
BHARAT Bond ETF FOF - April 2032 - Direct Plan,100.00,0.08,0.10 (30),"Rahul Dedhia (3.6), Pranavi Kulkarni (1.1)"
BHARAT Bond ETF FOF - April 2033 - Direct Plan,100.00,0.09,0.10 (30),"Rahul Dedhia (2.6), Pranavi Kulkarni (1.1)"
BHARAT Bond FOF - April 2030 - Direct Plan,100.00,0.08,0.10 (30),"Rahul Dedhia (3.7), Pranavi Kulkarni (1.1)"
BHARAT Bond FOF - April 2031 - Direct Plan,100.00,0.08,0.10 (30),"Rahul Dedhia (3.7), Pranavi Kulkarni (1.1)"
Canara Robeco Banking and PSU Debt Fund - Direct Plan,"5,000",0.38,--,"Suman Prasad (0.9), Avnish Jain (3)"
Canara Robeco Corporate Bond Fund - Direct Plan,"5,000",0.36,--,"Suman Prasad (3), Avnish Jain (11.5)"
Canara Robeco Dynamic Bond Fund - Direct Plan,"5,000",0.64,--,"Avnish Jain (3.3), Kunal Jain (3)"
Canara Robeco Gilt Fund - Direct Plan,"5,000",0.51,--,"Avnish Jain (3.3), Kunal Jain (3)"
Canara Robeco Income Fund - Direct Plan,"5,000",0.75,--,"Avnish Jain (11.1), Kunal Jain (3)"
Canara Robeco Liquid Fund - Direct Plan,"5,000",0.07,0.01 (1),"Avnish Jain (3.3), Kunal Jain (3)"
Canara Robeco Overnight Fund - Direct Plan,"5,000",0.07,--,Suman Prasad (6)
Canara Robeco Savings Fund - Direct Plan,"5,000",0.21,--,"Avnish Jain (3.3), Kunal Jain (3)"
Canara Robeco Short Duration Fund - Direct Plan,"5,000",0.40,--,"Avnish Jain (3), Suman Prasad (12.6)"
Canara Robeco Ultra Short Term Fund - Direct Plan,500.00,0.34,--,"Kunal Jain (0.9), Avnish Jain (3.3)"
DSP 10Y G-Sec Fund - Direct Plan,100.00,0.31,--,Shantanu Godambe (2.1)
DSP Banking & PSU Debt Fund - Direct Plan,100.00,0.33,--,"Shantanu Godambe (2.2), Sandeep Yadav (1)"
DSP Bond Fund - Direct Plan,100.00,0.40,--,"Karan Mundhra (4.2), Vivekanand Ramakrishnan (4)"
DSP BSE Liquid Rate ETF,"5,000",0.30,--,"Anil Ghelani (1.4), Diipesh Shah (1.4)"
DSP Corporate Bond Fund - Direct Plan,100.00,0.29,--,"Vivekanand Ramakrishnan (4), Shantanu Godambe (0.6)"
DSP Credit Risk Fund - Direct Plan,100.00,0.40,1.00 (364),"Vivekanand Ramakrishnan (4), Shalini Vasanta (0.6)"
DSP CRISIL-IBX 50:50 Gilt Plus SDL - April 2033 Index Fund - Direct Plan,100.00,0.16,--,Shantanu Godambe (2.1)
DSP Floater Fund - Direct Plan,100.00,0.25,--,"Karan Mundhra (1), Shantanu Godambe (2.2)"
DSP Gilt Fund - Direct Plan,100.00,0.57,--,"Sandeep Yadav (1), Shantanu Godambe (2.2)"
DSP Income Plus Arbitrage FoF - Direct Plan,100.00,0.43,--,"Shantanu Godambe (0.4), Kaivalya Nadkarni (0.4)"
DSP Liquidity Fund - Direct Plan,100.00,0.10,0.01 (1),"Shalini Vasanta (1), Karan Mundhra (4.2)"
DSP Low Duration Fund - Direct Plan,100.00,0.30,--,"Shalini Vasanta (2.2), Karan Mundhra (3.4)"
DSP NIFTY 1D Rate Liquid ETF,500.00,0.30,--,"Anil Ghelani (6), Diipesh Shah (4.7)"
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Direct Plan,100.00,0.15,--,Shantanu Godambe (2.1)
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Direct Plan,100.00,0.16,--,Shantanu Godambe (2.1)
DSP Overnight Fund - Direct Plan,100.00,0.07,--,"Shalini Vasanta (1), Karan Mundhra (1)"
DSP Savings Fund - Direct Plan,100.00,0.16,--,"Shalini Vasanta (1), Karan Mundhra (4.2)"
DSP Short Term Fund - Direct Plan,100.00,0.35,--,"Karan Mundhra (1), Shantanu Godambe (0.6)"
DSP Strategic Bond Fund - Direct Plan,100.00,0.53,--,"Sandeep Yadav (3.4), Shantanu Godambe (2.2), Kunal Khudania (0.1)"
DSP Ultra Short Fund - Direct Plan,100.00,0.30,--,"Karan Mundhra (4.2), Shalini Vasanta (0.6)"
DSP US Treasury FoF - Direct Plan,100.00,0.21,0.10 (7),Kaivalya Nadkarni (0.2)
Edelweiss Banking and PSU Debt Fund - Direct Plan,100.00,0.39,--,"Dhawal Dalal (8.7), Rahul Dedhia (3.7)"
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Direct Plan,100.00,0.20,0.10 (30),"Rahul Dedhia (2.8), Dhawal Dalal (2.8)"
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Direct Plan,100.00,0.20,0.10 (30),"Dhawal Dalal (2.8), Rahul Dedhia (2.8)"
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Direct Plan,100.00,0.20,0.10 (30),"Rahul Dedhia (2.7), Dhawal Dalal (2.7)"
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund - Direct Plan,100.00,0.20,--,"Rahul Dedhia (2.5), Pranavi Kulkarni (1.1)"
Edelweiss CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan,100.00,0.14,0.10 (30),"Dhawal Dalal (0.5), Rahul Dedhia (0.5)"
Edelweiss CRISIL IBX AAA Financial Services Bond - Jan 2028 Index Fund - Direct Plan,100.00,0.17,0.10 (30),"Dhawal Dalal (0.7), Rahul Dedhia (0.7)"
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Direct Plan,100.00,0.20,0.10 (30),"Rahul Dedhia (3.4), Dhawal Dalal (3.4)"
Edelweiss Government Securities Fund - Direct Plan,100.00,0.51,--,"Rahul Dedhia (3.7), Hetul Raval (1.1)"
Edelweiss Income Plus Arbitrage Active FoF - Direct Plan,100.00,--,--,"Bhavesh Jain (0.1), Bharat Lahoti (0.1), Rahul Dedhia (0.1), Hetul Raval (0.1)"
Edelweiss Liquid Fund - Direct Plan,100.00,0.09,0.01 (1),"Pranavi Kulkarni (3.7), Rahul Dedhia (7.6)"
Edelweiss Low Duration Fund - Direct Plan,100.00,0.20,--,"Rahul Dedhia (0.4), Pranavi Kulkarni (0.4)"
Edelweiss Money Market Fund - Direct Plan,100.00,0.16,--,"Pranavi Kulkarni (3.7), Hetul Raval (1.1)"
Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Direct Plan,100.00,0.23,0.10 (30),"Rahul Dedhia (3.7), Dhawal Dalal (4.4)"
Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index - Direct Plan,100.00,0.22,0.15 (30),"Dhawal Dalal (3.8), Rahul Dedhia (3.7)"
Edelweiss Overnight Fund - Direct Plan,100.00,0.11,--,"Pranavi Kulkarni (3.7), Hetul Raval (1.1)"
Franklin India Banking & PSU Debt Fund - Direct Plan,"5,000",0.17,--,"Anuj Tagra (1.4), Chandni Gupta (1.4)"
Franklin India Corporate Debt Fund - Direct Plan,"10,000",0.24,--,"Anuj Tagra (1.4), Chandni Gupta (1.4), Rahul Goswami (1.8)"
Franklin India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan,"5,000",--,--,Santosh Kamath (5.5)
Franklin India Credit Risk Fund - Segregated Portfolio 3 - Direct Plan,"5,000",--,--,Santosh Kamath (5.4)
Franklin India Dynamic Accrual Fund - Segregated Portfolio 2 - Direct Plan,"10,000",--,--,--
Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 - Direct Plan,"10,000",--,--,--
Franklin India Floating Rate Fund - Direct Plan,"1,000",0.25,--,"Pallab Roy (12.6), Rohan Maru (0.8)"
Franklin India Government Securities Fund - Direct Plan,"10,000",0.62,--,"Anuj Tagra (1.4), Rahul Goswami (1.8)"
Franklin India Income Opportunities Fund - Segregated Portfolio 2 - Direct Plan,"5,000",--,--,Santosh Kamath (5.5)
Franklin India Income Plus Arbitrage Active FoF - Direct Plan,"5,000",0.90,--,"Rahul Goswami (0.1), Pallab Roy (0.1), Rohan Maru (0.1)"
Franklin India Liquid Fund Super Institutional Plan - Direct Plan,"10,000",0.13,0.01 (1),"Rohan Maru (0.8), Pallab Roy (12.6)"
Franklin India Long Duration Fund - Direct Plan,"5,000",0.33,--,"Anuj Tagra (0.7), Chandni Gupta (0.7)"
Franklin India Low Duration Fund - Direct Plan,"5,000",0.26,--,"Rahul Goswami (0.4), Chandni Gupta (0.4), Rohan Maru (0.3)"
Franklin India Low Duration Fund - Segregated Portfolio 2 - Direct Plan,"10,000",--,--,Santosh Kamath (5.5)
Franklin India Medium to Long Duration Fund - Direct Plan,"5,000",0.31,--,"Anuj Tagra (0.9), Chandni Gupta (0.9)"
Franklin India Money Market Fund - Direct Plan,"10,000",0.14,--,"Rohan Maru (0.8), Rahul Goswami (1.8), Chandni Gupta (1.2)"
Franklin India Overnight Fund - Direct Plan,"5,000",0.07,--,"Rohan Maru (0.8), Pallab Roy (6.2)"
Franklin India Short-Term Income Plan Retail Plan-Segregated Portfolio 3 - Direct Plan,"5,000",--,--,Santosh Kamath (5.4)
Franklin India Ultra Short Duration Fund - Direct Plan,"5,000",0.26,--,"Rahul Goswami (0.9), Rohan Maru (0.8), Pallab Roy (0.9)"
