Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Direct Plan,0.04,100/103,0.51,62/102,1.94,58/102,5.53,22/98,9.95,28/88
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Direct Plan,0.10,69/103,0.42,95/102,1.72,81/102,3.91,95/98,7.62,85/88
Aditya Birla Sun Life CRISIL IBX Gilt April 2033 Index Fund - Direct Plan,0.18,16/103,0.62,26/102,1.37,93/102,5.75,12/98,10.72,12/88
Aditya Birla Sun Life CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,0.09,76/103,0.52,53/102,2.00,51/102,4.81,64/98,8.83,63/88
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Direct Plan,0.61,3/103,0.65,21/102,1.89,69/102,6.00,5/98,10.98,4/88
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,0.10,35/36,0.40,35/35,1.27,35/35,2.71,34/35,5.87,35/35
Aditya Birla Sun Life Debt Plus Arbitrage FOF - Direct Plan,0.17,11/21,0.60,8/19,1.65,10/14,4.90,--,9.06,--
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,0.17,18/23,0.57,15/23,0.96,8/23,5.26,5/23,10.07,4/23
Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,0.13,8/12,0.64,7/12,1.99,6/12,4.68,10/12,8.70,10/12
Aditya Birla Sun Life Government Securities Fund - Direct Plan,0.36,2/25,1.06,2/25,-0.80,21/24,3.93,19/24,8.19,17/23
Aditya Birla Sun Life Income Fund - Direct Plan,0.26,2/14,0.73,4/14,0.65,8/14,4.51,12/14,8.88,11/13
Aditya Birla Sun Life Liquid Fund - Direct Plan,0.10,27/40,0.49,10/39,1.57,11/38,3.50,4/38,7.21,5/37
Aditya Birla Sun Life Long Duration Fund - Direct Plan,0.20,11/11,0.62,11/11,-0.08,3/11,4.71,2/11,9.68,2/9
Aditya Birla Sun Life Low Duration Fund - Direct Plan,0.14,3/24,0.66,1/23,2.03,4/23,4.56,4/20,8.50,7/20
Aditya Birla Sun Life Medium Term Plan - Direct Plan,0.21,4/13,0.81,3/13,2.43,2/13,8.00,1/13,14.76,1/13
Aditya Birla Sun Life Medium Term Plan - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Aditya Birla Sun Life Money Manager Fund - Direct Plan,0.11,18/25,0.58,7/24,1.90,9/24,4.33,15/23,8.18,11/23
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Direct Plan,0.12,52/103,0.51,64/102,2.01,49/102,4.58,77/98,8.62,68/88
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Direct Plan,0.13,39/103,0.54,42/102,1.96,54/102,4.46,79/98,8.37,71/88
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Direct Plan,0.10,73/103,0.43,91/102,1.42,87/102,3.18,98/98,6.77,88/88
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Direct Plan,0.14,34/103,0.43,92/102,2.09,30/102,4.96,54/98,9.13,46/88
Aditya Birla Sun Life Overnight Fund - Direct Plan,0.10,19/37,0.43,16/35,1.37,15/35,2.94,8/34,6.33,10/34
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct Plan,0.16,15/26,0.45,26/26,1.18,26/26,3.96,25/25,7.67,25/25
Aditya Birla Sun Life Savings Fund - Direct Plan,0.13,1/30,0.64,1/30,1.94,1/29,4.31,1/26,8.34,1/24
Aditya Birla Sun Life Short Term Fund - Direct Plan,0.21,3/26,0.69,2/26,1.97,16/26,5.27,14/25,9.74,7/25
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Direct Plan,0.41,5/21,0.54,16/19,2.00,2/14,2.62,5/6,7.91,1/5
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Direct Plan,0.54,4/21,0.31,17/19,2.20,1/14,4.17,3/6,7.64,3/5
Angel One Nifty 1D Rate Liquid ETF - Growth,0.10,25/52,0.42,42/52,1.30,43/51,--,--,--,--
Axis Banking & PSU Debt Fund - Direct Plan,0.16,15/22,0.63,10/22,1.87,7/22,5.12,13/22,9.23,15/22
Axis Corporate Bond Fund - Direct Plan,0.17,15/21,0.63,16/21,2.03,6/21,5.71,3/21,10.19,3/21
Axis Credit Risk Fund - Direct Plan,0.15,9/14,0.64,9/14,2.22,8/14,5.34,8/14,9.91,8/14
Axis CRISIL IBX 50:50 Gilt Plus SDL Jun 2028 Index Fund - Direct Plan,0.07,89/103,0.60,33/102,2.20,14/102,5.33,34/98,9.68,35/88
Axis CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund - Direct Plan,0.12,47/103,0.48,78/102,2.09,29/102,4.90,57/98,9.02,49/88
Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund - Direct Plan,0.15,26/103,0.72,13/102,2.24,8/102,5.34,33/98,--,--
Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan,0.13,38/103,0.72,11/102,2.17,17/102,5.04,49/98,--,--
Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan,0.12,46/103,0.72,10/102,2.14,22/102,5.09,48/98,--,--
Axis CRISIL IBX SDL June 2034 Debt Index Fund - Direct Plan,0.08,88/103,0.00,102/102,0.78,101/102,5.15,45/98,10.33,22/88
Axis CRISIL IBX SDL May 2027 Index Fund - Direct Plan,0.09,79/103,0.44,87/102,2.05,35/102,4.77,69/98,8.97,52/88
Axis Dynamic Bond Fund - Direct Plan,0.21,12/23,0.62,13/23,0.77,10/23,5.19,6/23,9.67,7/23
Axis Floater Fund - Direct Plan,0.18,2/12,0.71,1/12,0.83,12/12,5.41,2/12,10.10,2/12
Axis Gilt Fund - Direct Plan,0.24,13/25,0.59,21/25,-0.30,10/24,4.46,7/24,9.29,6/23
Axis Income Plus Arbitrage Active FoF - Direct Plan,0.15,14/21,0.58,10/19,1.64,11/14,5.07,--,9.41,--
Axis Liquid Fund - Direct Plan,0.10,12/40,0.49,4/39,1.58,5/38,3.50,3/38,7.22,3/37
Axis Long Duration Fund - Direct Plan,0.37,5/11,1.07,5/11,-1.21,10/11,3.35,9/11,7.40,7/9
Axis Money Market Fund - Direct Plan,0.11,8/25,0.59,6/24,1.91,6/24,4.40,5/23,8.26,5/23
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,0.11,56/109,0.51,53/108,1.75,80/108,4.01,97/104,7.77,85/94
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF - Direct Plan,0.15,25/103,0.70,14/102,2.05,37/102,4.19,90/98,7.90,82/88
Axis Nifty SDL September 2026 Debt Index Fund - Direct Plan,0.13,37/103,0.56,38/102,1.98,53/102,4.44,81/98,8.37,70/88
Axis Overnight Fund - Direct Plan,0.10,6/37,0.44,3/35,1.38,3/35,2.96,2/34,6.37,2/34
Axis Short Duration Fund - Direct Plan,0.17,12/26,0.65,10/26,2.10,5/26,5.52,1/25,9.98,3/25
Axis Strategic Bond Fund - Direct Plan,0.11,12/13,0.59,9/13,1.91,5/13,5.49,7/13,10.19,5/13
Axis Treasury Advantage Fund - Direct Plan,0.14,4/24,0.62,8/23,2.00,8/23,4.56,5/20,8.55,6/20
Axis Ultra Short Duration Fund - Direct Plan,0.12,6/30,0.60,4/30,1.87,6/29,4.15,6/26,8.03,5/24
Axis US Specific Treasury Dynamic Debt Passive ETF FoF - Direct Plan,0.82,1/21,-0.07,19/19,1.79,7/14,4.35,2/6,7.03,5/5
Bajaj Finserv Banking and PSU Fund - Direct Plan,0.26,1/22,0.73,1/22,2.02,3/22,5.59,1/22,9.89,1/22
Bajaj Finserv Gilt Fund - Direct Plan,0.28,10/25,0.80,11/25,-0.49,13/24,4.29,12/24,--,--
Bajaj Finserv Liquid Fund - Direct Plan,0.10,16/40,0.49,15/39,1.56,17/38,3.46,22/38,7.17,17/37
Bajaj Finserv Money Market Fund - Direct Plan,0.11,10/25,0.58,9/24,1.93,3/24,4.40,3/23,8.27,4/23
Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,0.10,26/52,0.41,47/52,1.29,46/51,2.76,43/49,5.94,42/46
Bajaj Finserv Overnight Fund - Direct Plan,0.10,10/37,0.44,10/35,1.38,4/35,2.94,6/34,6.33,7/34
Bandhan Banking and PSU Fund - Direct Plan,0.12,21/22,0.55,20/22,1.81,13/22,4.87,20/22,8.93,20/22
Bandhan Bond Fund Income Plan - Direct Plan,0.21,6/14,0.88,1/14,0.12,14/14,3.54,14/14,7.24,13/13
Bandhan Bond Fund Medium Term Plan - Direct Plan,0.13,10/13,0.59,8/13,1.62,9/13,5.17,10/13,9.59,9/13
Bandhan Bond Fund Short Term Plan - Direct Plan,0.20,4/26,0.67,5/26,2.10,6/26,5.41,5/25,9.78,5/25
Bandhan Corporate Bond Fund - Direct Plan,0.13,19/21,0.58,20/21,1.94,8/21,5.27,14/21,9.55,15/21
Bandhan Credit Risk Fund - Direct Plan,0.10,14/14,0.54,12/14,1.52,14/14,4.59,13/14,8.76,13/14
Bandhan CRISIL-IBX 10:90 Gilt + SDL Index - Dec 2029 Fund - Direct Plan,0.05,98/103,0.39,97/102,1.86,74/102,--,--,--,--
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- April 2032 Index Fund - Direct Plan,0.64,2/103,0.62,24/102,1.87,71/102,5.98,6/98,11.03,1/88
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- November 2026 Index Fund - Direct Plan,0.14,35/103,0.55,40/102,2.00,50/102,4.54,78/98,8.53,69/88
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-September 2027 Index Fund - Direct Plan,0.16,23/103,0.45,81/102,2.17,18/102,5.01,50/98,9.21,44/88
Bandhan CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,0.11,26/30,0.58,14/30,1.75,24/29,--,--,--,--
Bandhan Crisil IBX Gilt April 2026 Index Fund - Direct Plan,0.10,71/103,0.43,90/102,1.70,83/102,3.87,96/98,7.59,86/88
Bandhan CRISIL IBX Gilt April 2028 Index Fund - Direct Plan,0.06,92/103,0.48,76/102,1.98,52/102,4.97,53/98,9.10,47/88
Bandhan Crisil IBX Gilt April 2032 Index Fund - Direct Plan,0.20,12/103,0.61,28/102,1.41,89/102,6.03,3/98,10.88,7/88
Bandhan CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,0.11,59/103,0.53,51/102,2.03,48/102,4.80,67/98,8.84,62/88
Bandhan Dynamic Bond Fund - Direct Plan,0.36,2/23,1.28,1/23,-1.00,23/23,3.57,23/23,7.29,23/23
Bandhan Floater Fund - Direct Plan,0.12,10/12,0.63,9/12,1.87,9/12,5.21,5/12,9.70,4/12
Bandhan Government Securities Fund - Constant Maturity Plan - Direct Plan,0.13,1/5,0.50,1/5,0.92,3/5,5.73,2/5,10.70,2/5
Bandhan Government Securities Fund - Investment Plan - Direct Plan,0.36,1/25,1.29,1/25,-0.93,24/24,3.70,24/24,7.53,23/23
Bandhan Income Plus Arbitrage FoF - Direct Plan,0.13,20/21,0.56,15/19,1.79,6/14,4.61,--,8.87,--
Bandhan Liquid Fund - Direct Plan,0.10,25/40,0.48,26/39,1.55,28/38,3.44,26/38,7.13,25/37
Bandhan Long Duration Fund - Direct Plan,0.33,8/11,1.24,1/11,-0.95,6/11,3.69,7/11,7.68,6/9
Bandhan Low Duration Fund - Direct Plan,0.11,23/24,0.59,23/23,1.93,20/23,4.40,18/20,8.18,20/20
Bandhan Money Market Fund - Direct Plan,0.11,4/25,0.59,3/24,1.92,5/24,4.38,8/23,8.23,7/23
Bandhan Overnight Fund - Direct Plan,0.10,23/37,0.43,21/35,1.37,9/35,2.94,15/34,6.32,15/34
Bandhan Ultra Short Duration Fund - Direct Plan,0.12,10/30,0.56,23/30,1.80,17/29,4.00,19/26,7.74,18/24
Bandhan US Treasury Bond 0-1 year FoF - Direct Plan,0.55,3/21,0.61,6/19,1.87,3/14,1.99,6/6,7.66,2/5
Bank of India Credit Risk Fund - Direct Plan,0.12,12/14,0.48,14/14,1.53,13/14,3.72,14/14,6.47,14/14
Bank of India Liquid Fund - Direct Plan,0.10,22/40,0.49,3/39,1.57,12/38,3.47,16/38,7.18,15/37
Bank of India Money Market Fund - Direct Plan,0.11,11/25,0.58,18/24,1.88,18/24,--,--,--,--
Bank of India Overnight Fund - Direct Plan,0.11,2/37,0.44,2/35,1.40,1/35,2.99,1/34,6.42,1/34
Bank of India Short Term Income Fund - Direct Plan,0.15,19/26,0.62,17/26,1.80,23/26,4.75,24/25,10.72,1/25
Bank of India Ultra Short Duration Fund - Direct Plan,0.11,19/30,0.55,27/30,1.75,26/29,3.91,23/26,7.54,22/24
Baroda BNP Paribas Banking & PSU Bond Fund - Direct Plan,0.19,7/22,0.58,15/22,1.83,9/22,5.27,6/22,9.59,4/22
Baroda BNP Paribas Corporate Bond Fund - Direct Plan,0.24,2/21,0.71,3/21,2.23,2/21,5.73,2/21,10.23,2/21
Baroda BNP Paribas Credit Risk Fund - Direct Plan,0.23,3/14,0.80,6/14,2.24,7/14,5.27,9/14,10.02,7/14
Baroda BNP Paribas Credit Risk Fund Plan B - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan,0.14,20/23,0.47,20/23,0.02,18/23,4.46,17/23,8.96,14/23
Baroda BNP Paribas Gilt Fund - Direct Plan,0.19,22/25,0.43,25/25,0.81,4/24,5.39,4/24,10.47,2/23
Baroda BNP Paribas Income Plus Arbitrage Active FoF - Direct Plan,0.21,6/21,0.67,1/19,--,--,--,--,--,--
Baroda BNP Paribas Liquid Fund - Direct Plan,0.10,36/40,0.48,29/39,1.55,30/38,3.44,25/38,7.14,24/37
Baroda BNP Paribas Low Duration Fund - Direct Plan,0.15,1/24,0.62,9/23,1.97,12/23,4.47,10/20,8.39,11/20
Baroda BNP Paribas Medium Duration Plan B - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Baroda BNP Paribas Money Market Fund - Direct Plan,0.10,23/25,0.59,4/24,1.90,10/24,4.33,16/23,8.10,17/23
Baroda BNP Paribas Nifty SDL December 2026 Index Fund - Direct Plan,0.14,32/103,0.57,36/102,2.08,31/102,4.70,75/98,8.73,66/88
Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Direct Plan,0.06,93/103,0.61,30/102,2.45,1/102,5.86,8/98,10.41,19/88
Baroda BNP Paribas Overnight Fund - Direct Plan,0.10,5/37,0.43,19/35,1.37,11/35,2.94,9/34,6.33,9/34
Baroda BNP Paribas Short Duration Fund - Direct Plan,0.19,7/26,0.68,3/26,2.11,3/26,5.44,3/25,9.83,4/25
Baroda BNP Paribas Ultra Short Duration Fund - Direct Plan,0.11,17/30,0.56,22/30,1.83,13/29,4.03,17/26,7.82,15/24
BHARAT Bond ETF - April 2030,0.23,10/109,0.82,1/108,2.22,5/108,5.79,8/104,10.42,17/94
BHARAT Bond ETF - April 2031,0.21,12/109,0.53,42/108,2.04,30/108,5.80,7/104,10.64,7/94
BHARAT Bond ETF - April 2032,0.21,11/109,0.43,89/108,1.67,87/108,5.44,24/104,10.60,9/94
BHARAT Bond ETF - April 2033,0.13,40/109,0.30,105/108,1.49,91/108,5.34,31/104,10.43,16/94
BHARAT Bond ETF FOF - April 2032 - Direct Plan,0.25,8/103,0.34,98/102,1.71,82/102,5.37,32/98,10.80,9/88
BHARAT Bond ETF FOF - April 2033 - Direct Plan,-0.02,103/103,0.24,100/102,1.29,94/102,5.11,46/98,10.43,17/88
BHARAT Bond FOF - April 2030 - Direct Plan,0.11,68/103,0.79,2/102,1.84,75/102,5.58,21/98,10.03,26/88
BHARAT Bond FOF - April 2031 - Direct Plan,0.33,7/103,0.70,15/102,1.93,65/102,5.66,16/98,9.93,30/88
Canara Robeco Banking and PSU Debt Fund - Direct Plan,0.16,14/22,0.56,18/22,1.47,21/22,4.46,22/22,8.40,22/22
Canara Robeco Corporate Bond Fund - Direct Plan,0.13,20/21,0.53,21/21,1.38,21/21,4.53,21/21,8.59,21/21
Canara Robeco Dynamic Bond Fund - Direct Plan,0.21,9/23,0.64,12/23,-0.64,22/23,3.99,21/23,7.88,22/23
Canara Robeco Gilt Fund - Direct Plan,0.23,18/25,0.66,16/25,-0.73,19/24,3.95,18/24,8.18,18/23
Canara Robeco Income Fund - Direct Plan,0.11,12/14,0.49,9/14,0.42,13/14,4.01,13/14,8.08,12/13
Canara Robeco Liquid Fund - Direct Plan,0.10,21/40,0.49,7/39,1.57,13/38,3.50,7/38,7.19,11/37
Canara Robeco Overnight Fund - Direct Plan,0.10,22/37,0.43,22/35,1.36,24/35,2.89,27/34,6.22,30/34
Canara Robeco Savings Fund - Direct Plan,0.13,15/24,0.60,18/23,1.97,11/23,4.43,14/20,8.25,18/20
Canara Robeco Short Duration Fund - Direct Plan,0.15,20/26,0.62,20/26,1.78,24/26,4.85,23/25,8.88,24/25
Canara Robeco Ultra Short Term Fund - Direct Plan,0.10,29/30,0.55,28/30,1.77,22/29,3.99,20/26,7.68,20/24
DSP 10Y G-Sec Fund - Direct Plan,-0.07,5/5,0.10,5/5,0.92,2/5,5.19,5/5,10.03,5/5
DSP Banking & PSU Debt Fund - Direct Plan,0.21,4/22,0.69,4/22,1.32,22/22,4.92,19/22,9.30,12/22
DSP Bond Fund - Direct Plan,0.21,5/13,0.66,7/13,1.90,6/13,5.81,3/13,9.95,7/13
DSP BSE Liquid Rate ETF,0.10,41/52,0.41,46/52,1.30,42/51,2.78,41/49,5.99,40/46
DSP Corporate Bond Fund - Direct Plan,0.13,21/21,0.61,18/21,2.15,4/21,4.96,20/21,9.01,20/21
DSP Credit Risk Fund - Direct Plan,0.11,13/14,0.53,13/14,2.54,6/14,18.80,1/14,23.80,1/14
DSP CRISIL-IBX 50:50 Gilt Plus SDL - April 2033 Index Fund - Direct Plan,0.39,6/103,0.53,52/102,1.29,95/102,5.71,13/98,10.74,11/88
DSP Floater Fund - Direct Plan,0.11,12/12,0.44,12/12,1.45,11/12,4.85,8/12,9.56,6/12
DSP Gilt Fund - Direct Plan,0.30,8/25,0.93,5/25,-0.60,16/24,4.31,10/24,8.68,10/23
DSP Income Plus Arbitrage FoF - Direct Plan,0.18,10/21,0.62,5/19,1.39,14/14,0.85,--,9.34,--
DSP Liquidity Fund - Direct Plan,0.10,11/40,0.49,6/39,1.57,9/38,3.47,15/38,7.20,9/37
DSP Low Duration Fund - Direct Plan,0.12,21/24,0.59,22/23,1.93,19/23,4.39,19/20,8.23,19/20
DSP NIFTY 1D Rate Liquid ETF,0.10,38/52,0.41,45/52,1.30,41/51,2.78,40/49,6.00,39/46
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Direct Plan,0.09,78/103,0.54,43/102,2.11,26/102,5.16,44/98,9.44,40/88
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Direct Plan,0.12,45/103,0.46,80/102,2.07,33/102,4.92,55/98,9.05,48/88
DSP Overnight Fund - Direct Plan,0.10,17/37,0.43,24/35,1.37,21/35,2.93,20/34,6.32,17/34
DSP Savings Fund - Direct Plan,0.11,7/25,0.58,12/24,1.85,21/24,4.10,22/23,7.80,22/23
DSP Short Term Fund - Direct Plan,0.17,11/26,0.62,21/26,2.04,10/26,5.23,16/25,9.59,17/25
DSP Strategic Bond Fund - Direct Plan,0.21,13/23,0.80,5/23,-0.58,21/23,4.09,19/23,8.46,19/23
DSP Ultra Short Fund - Direct Plan,0.11,16/30,0.56,21/30,1.82,14/29,4.25,2/26,8.06,3/24
DSP US Treasury FoF - Direct Plan,0.77,2/21,0.02,18/19,1.80,5/14,4.00,4/6,7.03,4/5
Edelweiss Banking and PSU Debt Fund - Direct Plan,0.16,16/22,0.72,2/22,1.88,6/22,5.43,3/22,9.70,3/22
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Direct Plan,0.17,19/103,0.72,12/102,0.66,102/102,5.59,19/98,10.72,13/88
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Direct Plan,0.09,80/103,0.49,73/102,2.04,44/102,4.76,71/98,8.87,59/88
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Direct Plan,0.06,91/103,0.55,41/102,2.21,12/102,5.45,28/98,9.85,32/88
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund - Direct Plan,0.09,26/26,0.49,25/26,1.92,20/26,4.99,22/25,9.23,23/25
Edelweiss CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan,0.14,33/103,0.75,5/102,2.16,19/102,--,--,--,--
Edelweiss CRISIL IBX AAA Financial Services Bond - Jan 2028 Index Fund - Direct Plan,0.19,15/103,0.80,1/102,2.22,10/102,5.51,26/98,--,--
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Direct Plan,0.11,60/103,0.49,72/102,1.59,85/102,3.61,97/98,7.28,87/88
Edelweiss Government Securities Fund - Direct Plan,0.21,20/25,0.63,19/25,-0.52,14/24,4.01,17/24,8.42,14/23
Edelweiss Income Plus Arbitrage Active FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Edelweiss Liquid Fund - Direct Plan,0.10,14/40,0.48,21/39,1.58,3/38,3.48,12/38,7.21,8/37
Edelweiss Low Duration Fund - Direct Plan,0.12,22/24,0.62,7/23,1.91,22/23,--,--,--,--
Edelweiss Money Market Fund - Direct Plan,0.11,3/25,0.58,11/24,1.88,19/24,4.36,12/23,8.14,14/23
Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Direct Plan,0.11,56/103,0.52,57/102,1.82,76/102,4.21,89/98,8.02,79/88
Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index - Direct Plan,0.11,65/103,0.53,50/102,2.12,25/102,4.85,59/98,8.93,53/88
Edelweiss Overnight Fund - Direct Plan,0.10,26/37,0.43,29/35,1.36,27/35,2.90,24/34,6.26,26/34
Franklin India Banking & PSU Debt Fund - Direct Plan,0.22,2/22,0.71,3/22,1.82,11/22,5.20,11/22,9.25,14/22
Franklin India Corporate Debt Fund - Direct Plan,0.24,3/21,0.78,1/21,3.33,1/21,6.81,1/21,11.03,1/21
Franklin India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Credit Risk Fund - Segregated Portfolio 3 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Dynamic Accrual Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Floating Rate Fund - Direct Plan,0.28,1/12,0.69,2/12,2.11,2/12,5.73,1/12,10.19,1/12
Franklin India Government Securities Fund - Direct Plan,0.21,21/25,0.83,9/25,0.09,7/24,4.37,9/24,8.96,8/23
Franklin India Income Opportunities Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Income Plus Arbitrage Active FoF - Direct Plan,0.17,12/21,0.68,--,2.89,--,11.36,--,14.79,--
Franklin India Liquid Fund Super Institutional Plan - Direct Plan,0.11,1/40,0.49,1/39,1.57,6/38,3.51,2/38,7.23,1/37
Franklin India Long Duration Fund - Direct Plan,0.21,10/11,0.73,10/11,-1.17,8/11,4.14,4/11,--,--
Franklin India Low Duration Fund - Direct Plan,0.14,6/24,0.65,2/23,2.11,2/23,--,--,--,--
Franklin India Low Duration Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Medium to Long Duration Fund - Direct Plan,0.15,10/14,0.60,7/14,1.28,4/14,5.55,3/14,--,--
Franklin India Money Market Fund - Direct Plan,0.11,13/25,0.58,15/24,1.89,16/24,4.40,4/23,8.27,3/23
Franklin India Overnight Fund - Direct Plan,0.10,11/37,0.44,5/35,1.38,6/35,2.94,13/34,6.30,22/34
Franklin India Short-Term Income Plan Retail Plan-Segregated Portfolio 3 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Ultra Short Duration Fund - Direct Plan,0.12,4/30,0.59,9/30,1.89,3/29,4.20,3/26,--,--
